1,AirFast,Delhi,Mumbai,2025-10-01T09:00,2025-10-01T11:00,120,120,3500.00
2,CloudAir,Kolkata,Bangalore,2025-10-02T14:30,2025-10-02T17:00,150,150,4500.00
3,JetGo,Chennai,Hyderabad,2025-10-03T07:00,2025-10-03T08:15,100,100,2800.00
4,StarFly,Mumbai,Delhi,2025-10-04T10:00,2025-10-04T12:00,180,180,3650.00
5,AirConnect,Bangalore,Kolkata,2025-10-05T16:00,2025-10-05T18:30,135,132,4200.00
6,QuickJet,Hyderabad,Chennai,2025-10-06T11:45,2025-10-06T13:00,110,110,2950.00
7,SkyWing,Delhi,Goa,2025-10-07T06:30,2025-10-07T08:30,200,197,6000.00
8,FastAir,Mumbai,Pune,2025-10-08T19:00,2025-10-08T20:00,90,90,1500.00
9,CloudAir,Bangalore,Delhi,2025-10-09T05:00,2025-10-09T07:45,150,150,4700.00
10,AirFast,Kolkata,Goa,2025-10-10T12:00,2025-10-10T14:30,120,120,5500.00
